step_count,eval reward,Return (Test),Max Step Count (Test),reward
49,-0.18826709687709808,-9.413354873657227,49.0,-1.0006877183914185
49,-0.25333622097969055,-12.666810989379883,49.0,-1.008655309677124
49,-0.28565120697021484,-14.282560348510742,49.0,-1.0091524124145508
49,-0.1984461396932602,-9.922307014465332,49.0,-1.0051976442337036
49,-0.21221555769443512,-10.610777854919434,49.0,-1.0113075971603394
49,-0.24953027069568634,-12.476513862609863,49.0,-0.9822278022766113
49,-0.2559337913990021,-12.796689987182617,49.0,-0.9660652279853821
49,-0.15703749656677246,-7.851874828338623,49.0,-0.9996552467346191
49,-0.23986804485321045,-11.993402481079102,49.0,-0.9873640537261963
49,-0.28409576416015625,-14.204788208007812,49.0,-0.9831277132034302
49,-0.19181327521800995,-9.59066390991211,49.0,-1.02411949634552
49,-0.2486879676580429,-12.434398651123047,49.0,-1.0190643072128296
49,-0.2382706254720688,-11.913531303405762,49.0,-1.0119374990463257
49,-0.2322588413953781,-11.612942695617676,49.0,-0.9900450110435486
49,-0.25489893555641174,-12.74494743347168,49.0,-1.0070855617523193
49,-0.22648648917675018,-11.324324607849121,49.0,-1.0359324216842651
49,-0.2081119418144226,-10.405597686767578,49.0,-1.007398247718811
49,-0.20088474452495575,-10.04423713684082,49.0,-1.0027904510498047
49,-0.19239258766174316,-9.619629859924316,49.0,-1.0167441368103027
49,-0.22966837882995605,-11.483419418334961,49.0,-1.0127204656600952
49,-0.20544880628585815,-10.272440910339355,49.0,-1.0244373083114624
49,-0.1653379648923874,-8.266898155212402,49.0,-1.0216879844665527
49,-0.15777277946472168,-7.888638973236084,49.0,-1.021517038345337
49,-0.2120244950056076,-10.601224899291992,49.0,-1.013818383216858
49,-0.1758747398853302,-8.793737411499023,49.0,-1.0399857759475708
49,-0.24458615481853485,-12.229308128356934,49.0,-0.9814500212669373
49,-0.26729413866996765,-13.364706993103027,49.0,-1.0062413215637207
49,-0.17342330515384674,-8.671165466308594,49.0,-0.9875802993774414
49,-0.19892093539237976,-9.946046829223633,49.0,-1.009252905845642
49,-0.27605968713760376,-13.802984237670898,49.0,-1.0077571868896484
49,-0.15807189047336578,-7.903594970703125,49.0,-1.0117698907852173
49,-0.19060230255126953,-9.530115127563477,49.0,-1.0064866542816162
49,-0.1441415697336197,-7.20707893371582,49.0,-0.9769316911697388
49,-0.2656773328781128,-13.283866882324219,49.0,-1.009603500366211
49,-0.24970600008964539,-12.485300064086914,49.0,-0.9943583011627197
