step_count,eval reward,Return (Test),Max Step Count (Test),reward
12,9.216583251953125,101.38241577148438,10.0,9.077136993408203
12,9.178996086120605,100.96895599365234,10.0,9.086406707763672
10,9.198934555053711,82.79041290283203,8.0,9.088937759399414
11,9.232118606567383,101.55330657958984,10.0,9.078495025634766
11,9.161149978637695,91.61149597167969,9.0,9.080095291137695
12,9.229921340942383,147.67874145507812,15.0,9.082510948181152
10,9.19825267791748,91.98252868652344,9.0,9.086238861083984
13,9.24526309967041,120.18841552734375,12.0,9.098427772521973
12,9.238343238830566,101.62177276611328,10.0,9.087796211242676
13,9.203315734863281,82.82984161376953,8.0,9.086492538452148
17,9.183059692382812,110.19670867919922,11.0,9.085997581481934
11,9.25844955444336,129.6182861328125,13.0,9.087985038757324
13,9.241469383239746,92.4146957397461,9.0,9.085064888000488
13,9.167116165161133,100.83827209472656,10.0,9.078638076782227
12,9.161700248718262,91.61699676513672,9.0,9.086554527282715
11,9.131155967712402,73.04924774169922,7.0,9.077228546142578
11,9.190698623657227,110.28838348388672,11.0,9.086665153503418
11,9.169671058654785,82.52703857421875,8.0,9.079202651977539
14,9.212459564208984,82.9121322631836,8.0,9.092997550964355
18,9.189041137695312,73.5123291015625,7.0,9.092727661132812
12,9.135397911071777,82.21858215332031,8.0,9.080886840820312
12,9.236254692077637,129.30755615234375,13.0,9.081791877746582
14,9.210018157958984,110.52021026611328,11.0,9.084479331970215
11,9.237542152404785,120.08804321289062,12.0,9.077559471130371
14,9.175203323364258,82.57682800292969,8.0,9.082314491271973
11,9.247723579406738,92.47723388671875,9.0,9.079167366027832
11,9.217028617858887,92.1702880859375,9.0,9.092582702636719
11,9.199320793151855,91.99320983886719,9.0,9.080662727355957
12,9.182479858398438,82.64231872558594,8.0,9.087447166442871
11,9.174604415893555,73.39683532714844,7.0,9.085094451904297
11,9.19424057006836,73.55392456054688,7.0,9.085355758666992
12,9.148001670837402,91.48001098632812,9.0,9.088342666625977
9,9.199983596801758,91.99983215332031,9.0,9.070883750915527
14,9.216075897216797,101.3768310546875,10.0,9.089293479919434
12,9.189445495605469,101.08389282226562,10.0,9.090353965759277
12,9.164094924926758,100.80503845214844,10.0,9.07857894897461
13,9.224321365356445,129.14048767089844,13.0,9.091500282287598
14,9.203654289245605,92.03653717041016,9.0,9.09388256072998
17,9.20803165435791,101.28834533691406,10.0,9.088373184204102
10,9.148028373718262,91.48028564453125,9.0,9.077625274658203
11,9.176326751708984,100.93959045410156,10.0,9.080711364746094
11,9.166035652160645,73.32828521728516,7.0,9.084734916687012
14,9.1281099319458,82.15299224853516,8.0,9.083478927612305
11,9.244674682617188,110.93609619140625,11.0,9.092944145202637
10,9.165693283081055,73.32554626464844,7.0,9.082408905029297
13,9.149839401245117,82.34855651855469,8.0,9.092516899108887
11,9.216486930847168,119.81432342529297,12.0,9.083455085754395
10,9.209237098693848,101.30160522460938,10.0,9.07236385345459
13,9.150252342224121,82.3522720336914,8.0,9.079548835754395
12,9.235511779785156,101.59062957763672,10.0,9.076794624328613
13,9.217329025268555,129.0426025390625,13.0,9.089224815368652
11,9.236139297485352,110.83366394042969,11.0,9.081918716430664
12,9.245508193969727,120.19159698486328,12.0,9.087834358215332
14,9.242652893066406,110.91183471679688,11.0,9.092926025390625
10,9.18558120727539,73.48464965820312,7.0,9.078505516052246
12,9.144400596618652,82.29960632324219,8.0,9.0756196975708
12,9.23757553100586,110.85090637207031,11.0,9.083011627197266
13,9.200848579406738,82.80763244628906,8.0,9.08493423461914
11,9.210293769836426,101.31322479248047,10.0,9.072019577026367
16,9.210190773010254,82.89171600341797,8.0,9.087703704833984
11,9.184314727783203,82.65882873535156,8.0,9.096246719360352
15,9.167062759399414,91.67062377929688,9.0,9.09246826171875
16,,,,9.083510398864746
11,,,,9.085935592651367
16,,,,9.093642234802246
11,,,,9.077601432800293
12,,,,9.082575798034668
9,,,,9.088408470153809
11,,,,9.075847625732422
10,,,,9.081744194030762
14,,,,9.08398151397705
12,,,,9.089914321899414
13,,,,9.0946626663208
13,,,,9.090095520019531
12,,,,9.080638885498047
11,,,,9.082955360412598
13,,,,9.086462020874023
11,,,,9.087143898010254
14,,,,9.08116340637207
11,,,,9.091984748840332
25,,,,9.090363502502441
