step_count,Max Step Count (Test),eval reward,lr,reward,Return (Test)
169,2.0,1.0,0.0002960726246215692,1.0,3.0
211,2.0,1.0,0.00029596477664731884,1.0,3.0
217,2.0,1.0,0.0002958554880596513,1.0,3.0
195,2.0,1.0,0.0002957447599372009,1.0,3.0
190,2.0,1.0,0.0002956325933728095,1.0,3.0
203,2.0,1.0,0.0002955189894735157,1.0,3.0
209,2.0,1.0,0.0002954039493605442,1.0,3.0
208,2.0,1.0,0.00029528747416929447,1.0,3.0
224,2.0,1.0,0.0002951695650493296,1.0,3.0
264,2.0,1.0,0.00029505022316436507,1.0,3.0
285,2.0,1.0,0.000294929449692257,1.0,3.0
294,2.0,1.0,0.0002948072458249909,1.0,3.0
298,2.0,1.0,0.00029468361276866953,1.0,3.0
250,2.0,1.0,0.0002945585517435013,1.0,3.0
240,2.0,1.0,0.00029443206398378796,1.0,3.0
262,2.0,1.0,0.00029430415073791266,1.0,3.0
238,2.0,1.0,0.0002941748132683276,1.0,3.0
271,2.0,1.0,0.00029404405285154126,1.0,3.0
219,2.0,1.0,0.00029391187077810625,1.0,3.0
249,2.0,1.0,0.0002937782683526062,1.0,3.0
277,2.0,1.0,0.0002936432468936432,1.0,3.0
233,2.0,1.0,0.00029350680773382445,1.0,3.0
228,2.0,1.0,0.00029336895221974935,1.0,3.0
187,2.0,1.0,0.0002932296817119963,1.0,3.0
225,2.0,1.0,0.00029308899758510886,1.0,3.0
242,2.0,1.0,0.00029294690122758267,1.0,3.0
246,2.0,1.0,0.00029280339404185135,1.0,3.0
271,,,0.0002926584774442729,1.0,
267,,,0.0002925121528651156,1.0,
287,,,0.00029236442174854406,1.0,
246,,,0.00029221528555260464,1.0,
275,,,0.00029206474574921144,1.0,
245,,,0.0002919128038241316,1.0,
313,,,0.00029175946127697056,1.0,
281,,,0.0002916047196211573,1.0,
214,,,0.00029144858038392953,1.0,
281,,,0.0002912910451063184,1.0,
255,,,0.0002911321153431337,1.0,
280,,,0.0002909717926629478,1.0,
253,,,0.000290810078648081,1.0,
333,,,0.00029064697489458523,1.0,
295,,,0.0002904824830122288,1.0,
221,,,0.00029031660462448003,1.0,
238,,,0.0002901493413684917,1.0,
202,,,0.00028998069489508463,1.0,
220,,,0.0002898106668687315,1.0,
165,,,0.00028963925896754024,1.0,
163,,,0.0002894664728832376,1.0,
199,,,0.0002892923103211525,1.0,
204,,,0.0002891167730001991,1.0,
226,,,0.0002889398626528599,1.0,
242,,,0.0002887615810251686,1.0,
253,,,0.0002885819298766929,1.0,
238,,,0.0002884009109805171,1.0,
273,,,0.00028821852612322466,1.0,
271,,,0.00028803477710488045,1.0,
230,,,0.0002878496657390131,1.0,
230,,,0.0002876631938525971,1.0,
320,,,0.0002874753632860346,1.0,
230,,,0.00028728617589313755,1.0,
191,,,0.0002870956335411091,1.0,
155,,,0.00028690373811052536,1.0,
197,,,0.00028671049149531675,1.0,
219,,,0.0002865158956027493,1.0,
273,,,0.000286319952353406,1.0,
307,,,0.00028612266368116746,1.0,
182,,,0.00028592403153319344,1.0,
227,,,0.0002857240578699029,1.0,
272,,,0.0002855227446649552,1.0,
200,,,0.00028532009390523037,1.0,
287,,,0.00028511610759080966,1.0,
251,,,0.00028491078773495564,1.0,
195,,,0.0002847041363640923,1.0,
210,,,0.0002844961555177854,1.0,
328,,,0.0002842868472487218,1.0,
224,,,0.0002840762136226896,1.0,
231,,,0.00028386425671855775,1.0,
214,,,0.00028365097862825524,1.0,
203,,,0.00028343638145675076,1.0,
178,,,0.0002832204673220317,1.0,
187,,,0.00028300323835508354,1.0,
125,,,0.0002827846966998683,1.0,
248,,,0.0002825648445133041,1.0,
325,,,0.00028234368396524306,1.0,
174,,,0.0002821212172384506,1.0,
176,,,0.0002818974465285835,1.0,
225,,,0.00028167237404416837,1.0,
257,,,0.0002814460020065796,1.0,
224,,,0.000281218332650018,1.0,
231,,,0.0002809893682214881,1.0,
300,,,0.00028075911098077643,1.0,
251,,,0.0002805275632004289,1.0,
262,,,0.0002802947271657288,1.0,
225,,,0.00028006060517467356,1.0,
261,,,0.0002798251995379529,1.0,
209,,,0.0002795885125789253,1.0,
206,,,0.00027935054663359563,1.0,
203,,,0.0002791113040505916,1.0,
198,,,0.0002788707871911409,1.0,
168,,,0.0002786289984290479,1.0,
165,,,0.00027838594015067,1.0,
181,,,0.0002781416147548943,1.0,
164,,,0.0002778960246531139,1.0,
184,,,0.0002776491722692038,1.0,
177,,,0.0002774010600394975,1.0,
171,,,0.0002771516904127625,1.0,
203,,,0.00027690106585017636,1.0,
210,,,0.0002766491888253023,1.0,
297,,,0.0002763960618240649,1.0,
309,,,0.00027614168734472545,1.0,
297,,,0.0002758860678978573,1.0,
145,,,0.0002756292060063214,1.0,
130,,,0.00027537110420524063,1.0,
115,,,0.00027511176504197576,1.0,
89,,,0.0002748511910760996,1.0,
120,,,0.000274589384879372,1.0,
115,,,0.00027432634903571437,1.0,
86,,,0.00027406208614118435,1.0,
85,,,0.00027379659880395003,1.0,
126,,,0.0002735298896442642,1.0,
84,,,0.00027326196129443865,1.0,
87,,,0.000272992816398818,1.0,
85,,,0.0002727224576137537,1.0,
125,,,0.00027245088760757775,1.0,
84,,,0.0002721781090605766,1.0,
89,,,0.00027190412466496423,1.0,
79,,,0.00027162893712485617,1.0,
70,,,0.0002713525491562423,1.0,
84,,,0.0002710749634869602,1.0,
81,,,0.00027079618285666846,1.0,
70,,,0.00027051621001681936,1.0,
72,,,0.0002702350477306317,1.0,
75,,,0.00026995269877306383,1.0,
75,,,0.00026966916593078587,1.0,
111,,,0.0002693844520021526,1.0,
94,,,0.0002690985597971755,1.0,
94,,,0.00026881149213749535,1.0,
113,,,0.0002685232518563538,1.0,
101,,,0.00026823384179856623,1.0,
111,,,0.00026794326482049304,1.0,
170,,,0.00026765152379001173,1.0,
115,,,0.00026735862158648843,1.0,
197,,,0.0002670645611007497,1.0,
271,,,0.0002667693452350538,1.0,
239,,,0.00026647297690306204,1.0,
229,,,0.00026617545902981037,1.0,
236,,,0.00026587679455167994,1.0,
222,,,0.0002655769864163686,1.0,
264,,,0.00026527603758286174,1.0,
215,,,0.00026497395102140274,1.0,
198,,,0.000264670729713464,1.0,
189,,,0.00026436637665171745,1.0,
158,,,0.0002640608948400049,1.0,
196,,,0.0002637542872933086,1.0,
156,,,0.0002634465570377211,1.0,
153,,,0.0002631377071104159,1.0,
159,,,0.000262827740559617,1.0,
143,,,0.0002625166604445692,1.0,
148,,,0.0002622044698355076,1.0,
179,,,0.0002618911718136276,1.0,
142,,,0.00026157676947105406,1.0,
161,,,0.0002612612659108112,1.0,
146,,,0.0002609446642467918,1.0,
190,,,0.00026062696760372644,1.0,
188,,,0.00026030817911715275,1.0,
245,,,0.0002599883019333844,1.0,
306,,,0.00025966733920948,1.0,
276,,,0.0002593452941132121,1.0,
263,,,0.0002590221698230358,1.0,
346,,,0.0002586979695280574,1.0,
434,,,0.00025837269642800287,1.0,
319,,,0.0002580463537331864,1.0,
340,,,0.00025771894466447874,1.0,
411,,,0.0002573904724532751,1.0,
332,,,0.00025706094034146364,1.0,
380,,,0.0002567303515813933,1.0,
317,,,0.0002563987094358415,1.0,
370,,,0.00025606601717798256,1.0,
298,,,0.00025573227809135463,1.0,
325,,,0.0002553974954698278,1.0,
298,,,0.00025506167261757134,1.0,
381,,,0.00025472481284902134,1.0,
268,,,0.00025438691948884753,1.0,
262,,,0.00025404799587192114,1.0,
209,,,0.0002537080453432814,1.0,
220,,,0.0002533670712581027,1.0,
200,,,0.0002530250769816617,1.0,
218,,,0.0002526820658893038,1.0,
247,,,0.00025233804136641,1.0,
219,,,0.0002519930068083634,1.0,
253,,,0.0002516469656205159,1.0,
242,,,0.0002512999212181542,1.0,
266,,,0.00025095187702646655,1.0,
355,,,0.00025060283648050855,1.0,
320,,,0.0002502528030251695,1.0,
337,,,0.0002499017801151383,1.0,
409,,,0.00024954977121486937,1.0,
321,,,0.00024919677979854836,1.0,
468,,,0.00024884280935005815,1.0,
418,,,0.00024848786336294405,1.0,
463,,,0.0002481319453403797,1.0,
453,,,0.0002477750587951324,1.0,
415,,,0.00024741720724952813,1.0,
