reward,step_count,lr,eval reward,Return (test),Max step count (test)
-0.11468063294887543,49,0.00029336895221974935,-0.11482780426740646,-5.741390228271484,49.0
-0.09940000623464584,49,0.0002932296817119963,-0.0628448873758316,-3.142244338989258,49.0
-0.12685883045196533,49,0.00029308899758510886,-0.047847289592027664,-2.392364501953125,49.0
-0.1133555993437767,49,0.00029294690122758267,-0.026150638237595558,-1.3075319528579712,49.0
-0.15866687893867493,49,0.00029280339404185135,-0.10693539679050446,-5.3467698097229,49.0
-0.13782000541687012,49,0.0002926584774442729,,,
-0.14825543761253357,49,0.0002925121528651156,,,
-0.10900675505399704,49,0.00029236442174854406,,,
-0.11212093383073807,49,0.00029221528555260464,,,
-0.12534484267234802,49,0.00029206474574921144,,,
-0.12145242094993591,49,0.0002919128038241316,,,
-0.133976012468338,49,0.00029175946127697056,,,
-0.15960223972797394,49,0.0002916047196211573,,,
-0.14008834958076477,49,0.00029144858038392953,,,
-0.12483196705579758,49,0.0002912910451063184,,,
-0.13098865747451782,49,0.0002911321153431337,,,
-0.12034498900175095,49,0.0002909717926629478,,,
-0.12988662719726562,49,0.000290810078648081,,,
-0.12880933284759521,49,0.00029064697489458523,,,
-0.12372226268053055,49,0.0002904824830122288,,,
-0.1271236091852188,49,0.00029031660462448003,,,
-0.15679405629634857,49,0.0002901493413684917,,,
-0.11646505445241928,49,0.00028998069489508463,,,
-0.12180747091770172,49,0.0002898106668687315,,,
-0.14098289608955383,49,0.00028963925896754024,,,
-0.11763498187065125,49,0.0002894664728832376,,,
-0.12779125571250916,49,0.0002892923103211525,,,
-0.14020240306854248,49,0.0002891167730001991,,,
-0.10507138818502426,49,0.0002889398626528599,,,
-0.11830023676156998,49,0.0002887615810251686,,,
-0.11340124905109406,49,0.0002885819298766929,,,
-0.12354614585638046,49,0.0002884009109805171,,,
-0.1123037338256836,49,0.00028821852612322466,,,
-0.1451307088136673,49,0.00028803477710488045,,,
-0.15144211053848267,49,0.0002878496657390131,,,
-0.12678302824497223,49,0.0002876631938525971,,,
-0.12846718728542328,49,0.0002874753632860346,,,
-0.10738933086395264,49,0.00028728617589313755,,,
-0.11761932820081711,49,0.0002870956335411091,,,
-0.09362366795539856,49,0.00028690373811052536,,,
-0.11734223365783691,49,0.00028671049149531675,,,
-0.12452852725982666,49,0.0002865158956027493,,,
-0.1229274794459343,49,0.000286319952353406,,,
-0.13150747120380402,49,0.00028612266368116746,,,
-0.11780241131782532,49,0.00028592403153319344,,,
-0.11093054711818695,49,0.0002857240578699029,,,
-0.11211135983467102,49,0.0002855227446649552,,,
-0.10233791172504425,49,0.00028532009390523037,,,
-0.10379746556282043,49,0.00028511610759080966,,,
-0.11934300512075424,49,0.00028491078773495564,,,
-0.12319427728652954,49,0.0002847041363640923,,,
-0.11372076719999313,49,0.0002844961555177854,,,
-0.11079955846071243,49,0.0002842868472487218,,,
-0.1340898871421814,49,0.0002840762136226896,,,
-0.1241551861166954,49,0.00028386425671855775,,,
-0.12531909346580505,49,0.00028365097862825524,,,
-0.11127304285764694,49,0.00028343638145675076,,,
-0.12760420143604279,49,0.0002832204673220317,,,
-0.13135109841823578,49,0.00028300323835508354,,,
-0.10752639919519424,49,0.0002827846966998683,,,
-0.13909538090229034,49,0.0002825648445133041,,,
-0.12130262702703476,49,0.00028234368396524306,,,
-0.09439174085855484,49,0.0002821212172384506,,,
-0.1269083321094513,49,0.0002818974465285835,,,
-0.11059635132551193,49,0.00028167237404416837,,,
-0.12080766260623932,49,0.0002814460020065796,,,
-0.09635471552610397,49,0.000281218332650018,,,
-0.10132413357496262,49,0.0002809893682214881,,,
-0.10232887417078018,49,0.00028075911098077643,,,
-0.10611145198345184,49,0.0002805275632004289,,,
-0.10831791162490845,49,0.0002802947271657288,,,
-0.12822231650352478,49,0.00028006060517467356,,,
-0.1221017986536026,49,0.0002798251995379529,,,
-0.11914686113595963,49,0.0002795885125789253,,,
-0.11180618405342102,49,0.00027935054663359563,,,
-0.1168835461139679,49,0.0002791113040505916,,,
-0.08203297108411789,49,0.0002788707871911409,,,
-0.08591011166572571,49,0.0002786289984290479,,,
-0.12183290719985962,49,0.00027838594015067,,,
-0.12523172795772552,49,0.0002781416147548943,,,
-0.10741380602121353,49,0.0002778960246531139,,,
-0.11422313004732132,49,0.0002776491722692038,,,
-0.1171286478638649,49,0.0002774010600394975,,,
-0.10675060749053955,49,0.0002771516904127625,,,
-0.1126803308725357,49,0.00027690106585017636,,,
-0.10816279798746109,49,0.0002766491888253023,,,
-0.10398262739181519,49,0.0002763960618240649,,,
-0.09670010209083557,49,0.00027614168734472545,,,
-0.08926431834697723,49,0.0002758860678978573,,,
-0.1162630170583725,49,0.0002756292060063214,,,
-0.10092633962631226,49,0.00027537110420524063,,,
-0.11274845153093338,49,0.00027511176504197576,,,
-0.09707492589950562,49,0.0002748511910760996,,,
-0.11762084811925888,49,0.000274589384879372,,,
-0.12346469610929489,49,0.00027432634903571437,,,
-0.09657109528779984,49,0.00027406208614118435,,,
-0.10070178657770157,49,0.00027379659880395003,,,
-0.1215808242559433,49,0.0002735298896442642,,,
-0.10768382996320724,49,0.00027326196129443865,,,
-0.10469932854175568,49,0.000272992816398818,,,
-0.1166858971118927,49,0.0002727224576137537,,,
-0.11488407105207443,49,0.00027245088760757775,,,
-0.13799384236335754,49,0.0002721781090605766,,,
-0.11455461382865906,49,0.00027190412466496423,,,
-0.09683597087860107,49,0.00027162893712485617,,,
-0.11637979745864868,49,0.0002713525491562423,,,
-0.11191776394844055,49,0.0002710749634869602,,,
-0.10123500227928162,49,0.00027079618285666846,,,
-0.11692731827497482,49,0.00027051621001681936,,,
-0.10215139389038086,49,0.0002702350477306317,,,
-0.11966661363840103,49,0.00026995269877306383,,,
-0.1311756819486618,49,0.00026966916593078587,,,
-0.10997549444437027,49,0.0002693844520021526,,,
